message§results§ratio§elements§numberLeft§numberRight§joinIteratorString§execution time§heapTotal diff§heapTotal total§arrayBuffers dif§arrayBuffers total§rss diff§rss total§heap diff§head total
TwoHashIndexedCount: 1000 & 0.25§432§0.25§100§1000§1000§TwoHashIndexedCount§0.009732818000018597§0§9.50390625§0§0.030135154724121094§4§123.765625§0.7301864624023438§6.962715148925781
TwoHashIndexedCount: 1000 & 0.5§2045§0.5§100§1000§1000§TwoHashIndexedCount§0.02536659000068903§0.75§10.25390625§-0.012318611145019531§0.017816543579101562§11.25§132.015625§0.16768646240234375§6.558250427246094
TwoHash: 1000 & 0.25§577§0.25§100§1000§1000§TwoHash§0.011189079999923706§0.75§10.25390625§-0.012318611145019531§0.017816543579101562§-3.39453125§127.74609375§-0.6039505004882812§5.762123107910156
TwoHash: 1000 & 0.75§5582§0.75§100§1000§1000§TwoHash§0.018650610998272896§0.75§10.25390625§-0.012318611145019531§0.017816543579101562§-4.64453125§127.74609375§-0.09990692138671875§6.259483337402344
TwoHashIndexed: 1000 & 0.25§586§0.25§100§1000§1000§TwoHashIndexed§0.009762384995818139§0§9.75390625§0§0.030135154724121094§11.125§125.26953125§0.8045120239257812§7.152824401855469
TwoHashIndexed: 1000 & 0.5§2480§0.5§100§1000§1000§TwoHashIndexed§0.019048294000327586§0.5§10.00390625§-0.012318611145019531§0.017816543579101562§15.625§128.39453125§0.5881423950195312§6.797584533691406
TwoHash: 1000 & 0.5§2390§0.5§100§1000§1000§TwoHash§0.022758515000343323§0.25§10.00390625§-0.012318611145019531§0.017816543579101562§16.125§130.26953125§0.4850921630859375§6.883270263671875
TwoHashIndexed: 1000 & 0.75§5690§0.75§100§1000§1000§TwoHashIndexed§0.03017995299398899§0.75§10.25390625§-0.012318611145019531§0.017816543579101562§23§135.64453125§-0.459228515625§6.043212890625
TwoHashIndexedCount: 1000 & 0.75§5362§0.75§100§1000§1000§TwoHashIndexedCount§0.03598939000070095§1§10.50390625§-0.012318611145019531§0.017816543579101562§26.625§141.01953125§-0.3639678955078125§6.056037902832031
TwoHash: 1000 & 0.9§7929§0.9§100§1000§1000§TwoHash§0.028136773996055128§0.75§10.25390625§-0.012318611145019531§0.017816543579101562§17.25§136.26171875§0.395416259765625§6.80230712890625
TwoHashIndexed: 1000 & 0.9§7973§0.9§100§1000§1000§TwoHashIndexed§0.024022920005023478§0.5§10.00390625§-0.012318611145019531§0.017816543579101562§11.625§149.81640625§0.32306671142578125§6.765495300292969
TwoHashIndexedCount: 1000 & 0.9§7889§0.9§100§1000§1000§TwoHashIndexedCount§0.029483071997761727§0.75§10.25390625§-0.012318611145019531§0.017816543579101562§15.5§157.44140625§0.0868988037109375§6.616485595703125
TwoHashIndexed: 10000 & 0.25§53506§0.25§100§10000§10000§TwoHashIndexed§0.09911127100139856§5§15.75390625§0§0.017816543579101562§32.3125§188.00390625§0.23381805419921875§8.187309265136719
TwoHash: 10000 & 0.25§49936§0.25§100§10000§10000§TwoHash§0.14725143200159072§4.75§15.50390625§0§0.017816543579101562§38.88671875§197.703125§1.5101699829101562§9.486900329589844
TwoHashIndexedCount: 10000 & 0.25§38433§0.25§100§10000§10000§TwoHashIndexedCount§0.12386731199920177§5§15.75390625§0§0.017816543579101562§44.07421875§199.578125§0.5207366943359375§8.4820556640625
TwoHashIndexedCount: 10000 & 0.5§217272§0.5§100§10000§10000§TwoHashIndexedCount§0.18390133100003003§2.203125§17.70703125§0§0.017816543579101562§31.50390625§196.0078125§4.3735504150390625§12.520866394042969
TwoHashIndexed: 10000 & 0.5§231680§0.5§100§10000§10000§TwoHashIndexed§0.20298868999630212§2.453125§17.70703125§0§0.017816543579101562§21.62890625§187.8828125§4.4185943603515625§12.491439819335938
TwoHash: 10000 & 0.5§224643§0.5§100§10000§10000§TwoHash§0.21562367200106383§2§17.50390625§0§0.017816543579101562§28.25390625§194.5078125§3.7223358154296875§11.811172485351562
TwoHash: 10000 & 0.75§541988§0.75§100§10000§10000§TwoHash§0.34669997499883176§11.75§26.75390625§0§0.017816543579101562§82.92578125§282.6796875§2.1875§10.981460571289062
TwoHashIndexed: 10000 & 0.75§549732§0.75§100§10000§10000§TwoHashIndexed§0.3134176260009408§11.703125§26.70703125§0§0.017816543579101562§83.1015625§284.5546875§2.713104248046875§11.414726257324219
TwoHashIndexedCount: 10000 & 0.75§539684§0.75§100§10000§10000§TwoHashIndexedCount§0.2813412929996848§11.203125§26.20703125§0§0.017816543579101562§99.171875§286.1796875§3.5340194702148438§12.398971557617188
TwoHashIndexed: 10000 & 0.9§817926§0.9§100§10000§10000§TwoHashIndexed§0.3222798120006919§12.59375§28.09765625§0§0.017816543579101562§59.55078125§259.00390625§5.404396057128906§14.696853637695312
TwoHashIndexedCount: 10000 & 0.9§813502§0.9§100§10000§10000§TwoHashIndexedCount§0.362381315998733§12.34375§28.09765625§0§0.017816543579101562§43.2421875§249.6953125§4.137611389160156§13.468551635742188
TwoHash: 10000 & 0.9§814048§0.9§100§10000§10000§TwoHash§0.4978327279984951§11.75§27.25390625§0§0.017816543579101562§45.84765625§232.0546875§3.524749755859375§12.808113098144531
TwoHashIndexedCount: 25000 & 0.25§253120§0.25§100§25000§25000§TwoHashIndexedCount§1.393996591001749§11.203125§27.66796875§0§0.017816543579101562§57.90234375§336.95703125§5.8381805419921875§17.178611755371094
TwoHash: 25000 & 0.25§311647§0.25§100§25000§25000§TwoHash§1.693389910005033§11§27.71484375§0§0.017816543579101562§82.28125§332.71484375§-0.21327972412109375§11.3321533203125
